Name,Lat,Lon,mtDNA,Population
bells_reference,32.63,-108.85,Western,Gila
Vireo_bellii_KU2707,40.1,-95.05,Eastern,MO
Vireo_bellii_LSUB30896,27.88,-99.89,Eastern,STX
Vireo_bellii_LSUB43284,27.88,-99.89,Eastern,STX
Vireo_bellii_LSUB47300,30.63,-104.69,Eastern,WTX
Vireo_bellii_LSUB47301,30.63,-104.69,Eastern,WTX
Vireo_bellii_LSUB51626,30.58,-104.68,Eastern,WTX
Vireo_bellii_NK279598,32.39,-104.36,Eastern,Pecos
Vireo_bellii_NK279604,33.43,-107.16,Western,Butte
Vireo_bellii_NK279607,32.63,-108.85,Western,Gila
Vireo_bellii_NK279609,34.3,-106.85,Eastern,Sev
Vireo_bellii_NK279612,34.28,-106.85,Western,Sev
Vireo_bellii_NK279617,34.28,-106.85,Eastern,Sev
Vireo_bellii_NK279618,32.36,-104.29,Eastern,Pecos
Vireo_bellii_NK279620,32.64,-108.85,Western,Gila
Vireo_bellii_NK279629,32.37,-104.37,Eastern,Pecos
Vireo_bellii_NK280751,33.51,-107.12,Western,Butte
Vireo_bellii_NK280755,33.48,-107.13,Western,Butte
Vireo_bellii_NK280756,33.5,-107.13,Western,Butte
Vireo_bellii_NK280762,33.43,-107.17,Western,Butte
Vireo_bellii_NK280764,33.43,-107.17,Eastern,Butte
Vireo_bellii_NK280765,32.58,-107.92,Western,Mimbres
Vireo_bellii_NK280767,32.56,-107.92,Western,Mimbres
Vireo_bellii_NK280768,33.43,-107.17,Western,Butte
Vireo_bellii_NK280772,32.56,-107.92,Western,Mimbres
Vireo_bellii_NK280791,33.51,-107.12,Western,Butte
Vireo_bellii_SDSU2879,32.84,-117.01,Western,CA
Vireo_bellii_SDSU2880,33.24,-117.31,Western,CA
Vireo_bellii_SDSU2903,32.33,-110.7,Western,AZ
Vireo_bellii_SDSU2904,32.32,-110.7,Western,AZ
Vireo_bellii_SDSU2905,32.34,-110.69,Western,AZ
Vireo_bellii_SDSU2906,32.3,-110.62,Western,AZ
Vireo_bellii_SDSU2907,32.31,-110.56,Western,AZ
Vireo_bellii_SDSU2908,31.4,-111.09,Western,AZ
Vireo_bellii_SDSU2909,31.4,-111.09,Western,AZ
Vireo_bellii_SDSU2910,31.39,-111.09,Western,AZ
Vireo_bellii_SDSU2911,31.53,-110.71,Western,AZ
Vireo_bellii_SDSU2912,30,-103.56,Eastern,WTX
Vireo_bellii_SDSU2913,29.98,-103.54,Eastern,WTX
Vireo_bellii_SDSU2914,30.02,-103.56,Eastern,WTX
Vireo_bellii_SDSU2915,30.05,-103.57,Eastern,WTX
Vireo_bellii_SDSU2916,30.05,-103.57,Eastern,WTX
Vireo_bellii_SDSU2917,32.56,-109.8,Western,AZ
Vireo_bellii_SDSU3118,33.27,-117.38,Western,CA
Vireo_bellii_SDSU3119,33.34,-117.33,Western,CA
Vireo_bellii_SDSU3120,33.27,-117.37,Western,CA
Vireo_bellii_UTEP3117,30.68,-105,Western,WTX
Vireo_bellii_UTEP3130,30.68,-105,Eastern,WTX
Vireo_bellii_UTEP3350,31.64,-106.3,Eastern,WTX
