sample,pop,coarse
Vireo_bellii_KU2707,iMO,cEast
Vireo_bellii_LSUB30896,hSTX,cEast
Vireo_bellii_LSUB43284,hSTX,cEast
Vireo_bellii_LSUB47300,gWTX,cEast
Vireo_bellii_LSUB47301,gWTX,cEast
Vireo_bellii_NK279598,fPecos,cEast
Vireo_bellii_NK279604,dButte,bContact
Vireo_bellii_NK279607,bGila,aWest
Vireo_bellii_NK279609,eSev,bContact
Vireo_bellii_NK279612,eSev,bContact
Vireo_bellii_NK279617,eSev,bContact
Vireo_bellii_NK279618,fPecos,cEast
Vireo_bellii_NK279620,bGila,aWest
Vireo_bellii_NK279629,fPecos,cEast
Vireo_bellii_NK280751,dButte,bContact
Vireo_bellii_NK280755,dButte,bContact
Vireo_bellii_NK280756,dButte,bContact
Vireo_bellii_NK280762,dButte,bContact
Vireo_bellii_NK280764,dButte,bContact
Vireo_bellii_NK280765,cMimbres,aWest
Vireo_bellii_NK280767,cMimbres,aWest
Vireo_bellii_NK280768,dButte,bContact
Vireo_bellii_NK280772,cMimbres,aWest
Vireo_bellii_NK280791,dButte,bContact
Vireo_bellii_SDSU2903,aAZ,aWest
Vireo_bellii_SDSU2904,aAZ,aWest
Vireo_bellii_SDSU2905,aAZ,aWest
Vireo_bellii_SDSU2906,aAZ,aWest
Vireo_bellii_SDSU2907,aAZ,aWest
Vireo_bellii_SDSU2908,aAZ,aWest
Vireo_bellii_SDSU2909,aAZ,aWest
Vireo_bellii_SDSU2910,aAZ,aWest
Vireo_bellii_SDSU2912,gWTX,aWest
Vireo_bellii_SDSU2913,gWTX,cEast
Vireo_bellii_SDSU2914,gWTX,cEast
Vireo_bellii_SDSU2916,gWTX,cEast
Vireo_bellii_SDSU2917,aAZ,aWest
Vireo_bellii_UTEP3117,gWTX,cEast
Vireo_bellii_UTEP3130,gWTX,cEast
Vireo_bellii_UTEP3350,gWTX,cEast
