pop1	pop2	chromosome	window_pos_1	window_pos_2	avg_dxy	no_sites	count_diffs	count_comparisons	count_missing
WTX	Butte	CM022185.2_RagTag	1	50000	0.0016777147209773	49317	25444	15165868	615572
WTX	Sev	CM022185.2_RagTag	1	50000	0.0013999253184573	49311	7918	5656016	262024
WTX	AZ	CM022185.2_RagTag	1	50000	0.0016102881445222	49317	30860	19164272	562528
Butte	Sev	CM022185.2_RagTag	1	50000	0.0014142716412378	49311	6380	4511156	223276
Butte	AZ	CM022185.2_RagTag	1	50000	0.0016242051720157	49317	24822	15282552	498888
Sev	AZ	CM022185.2_RagTag	1	50000	0.0013845730630714	49311	7892	5699952	218088
Sev	AZ	CM022185.2_RagTag	50001	100000	0.0010353525450695	49396	5914	5712064	215456
Butte	AZ	CM022185.2_RagTag	50001	100000	0.0009855869285851	49396	15164	15385756	420964
Butte	Sev	CM022185.2_RagTag	50001	100000	0.0008650044665363	49396	3912	4522520	219496
WTX	AZ	CM022185.2_RagTag	50001	100000	0.0011222530181765	49396	21622	19266600	491800
WTX	Sev	CM022185.2_RagTag	50001	100000	0.0010672758120407	49396	6044	5663016	264504
WTX	Butte	CM022185.2_RagTag	50001	100000	0.0010808398455988	49396	16488	15254804	551916
WTX	Butte	CM022185.2_RagTag	100001	150000	0.0016895455720492	49336	25594	15148452	639068
WTX	Sev	CM022185.2_RagTag	100001	150000	0.0017648394982259	49334	9914	5617508	302812
WTX	AZ	CM022185.2_RagTag	100001	150000	0.0017206820681838	49336	32968	19159844	574556
Butte	Sev	CM022185.2_RagTag	100001	150000	0.0016625359488307	49334	7462	4488324	247932
Sev	AZ	CM022185.2_RagTag	100001	150000	0.001706049322513	49334	9684	5676272	244048
Butte	AZ	CM022185.2_RagTag	100001	150000	0.0014893350754412	49336	22802	15310188	477332
WTX	AZ	CM022185.2_RagTag	150001	200000	0.008161976134052	48121	153292	18781236	467164
WTX	Sev	CM022185.2_RagTag	150001	200000	0.0076922009314937	48119	42122	5475936	298584
Butte	Sev	CM022185.2_RagTag	150001	200000	0.0073275687273504	48119	31802	4340048	279568
Butte	AZ	CM022185.2_RagTag	150001	200000	0.0075146807318668	48121	111870	14886860	511860
Sev	AZ	CM022185.2_RagTag	150001	200000	0.00754392971246	48119	41558	5508800	265720
WTX	Butte	CM022185.2_RagTag	150001	200000	0.0079159403426663	48121	117124	14795968	602752
WTX	Butte	CM022185.2_RagTag	200001	250000	0.0083419265765024	38717	99114	11881428	508012
WTX	Sev	CM022185.2_RagTag	200001	250000	0.0083227320374622	38715	36872	4430276	215764
WTX	AZ	CM022185.2_RagTag	200001	250000	0.008465418395039	38717	127158	15020876	465924
Butte	Sev	CM022185.2_RagTag	200001	250000	0.0080265658720469	38715	28430	3541988	174844
Butte	AZ	CM022185.2_RagTag	200001	250000	0.0080596030570965	38717	96786	12008780	380660
Sev	AZ	CM022185.2_RagTag	200001	250000	0.0080896566016028	38715	36226	4478064	167976
WTX	Butte	CM022185.2_RagTag	250001	300000	0.0085966048058414	48127	127264	14803984	596656
