pop	chromosome	window_pos_1	window_pos_2	avg_pi	no_sites	count_diffs	count_comparisons	count_missing
Butte	CM022185.2_RagTag	1	50000	0.001630506282944	49317	9258	5677991	240049
Sev	CM022185.2_RagTag	1	50000	0.0011976404779777	49311	844	704719	35036
AZ	CM022185.2_RagTag	1	50000	0.0016445284346854	49317	15094	9178315	191915
WTX	CM022185.2_RagTag	1	50000	0.0016293474104702	49317	14731	9041043	329187
WTX	CM022185.2_RagTag	50001	100000	0.0010946971991124	49396	9941	9081050	304190
Butte	CM022185.2_RagTag	50001	100000	0.0007805922006543	49396	4463	5717454	210066
Sev	CM022185.2_RagTag	50001	100000	0.0009680404501601	49396	681	703483	37457
AZ	CM022185.2_RagTag	50001	100000	0.0011356444191838	49396	10486	9233524	151716
Sev	CM022185.2_RagTag	100001	150000	0.0016864517885415	49334	1177	697915	42125
WTX	CM022185.2_RagTag	100001	150000	0.001835104190944	49336	16543	9014747	359093
Butte	CM022185.2_RagTag	100001	150000	0.0012313255124098	49336	6996	5681682	238638
AZ	CM022185.2_RagTag	100001	150000	0.0016116922507824	49336	14831	9202129	171711
Butte	CM022185.2_RagTag	150001	200000	0.0072351212836238	48121	39840	5506473	268047
Sev	CM022185.2_RagTag	150001	200000	0.006948731036775	48119	4683	673936	47879
AZ	CM022185.2_RagTag	150001	200000	0.0075531203693517	48121	67834	8980924	162066
WTX	CM022185.2_RagTag	150001	200000	0.0080807739275629	48121	71698	8872665	270325
WTX	CM022185.2_RagTag	200001	250000	0.0084940381094505	38717	60015	7065544	290686
Butte	CM022185.2_RagTag	200001	250000	0.0078664458289668	38717	35070	4458176	187864
Sev	CM022185.2_RagTag	200001	250000	0.0076411755988418	38715	4228	553318	27437
AZ	CM022185.2_RagTag	200001	250000	0.0078707202941077	38717	56794	7215858	140372
WTX	CM022185.2_RagTag	250001	300000	0.0086606319317932	48127	76591	8843581	300549
Butte	CM022185.2_RagTag	250001	300000	0.0083044691110928	48127	45923	5529914	245326
Sev	CM022185.2_RagTag	250001	300000	0.0074298915899263	48124	5062	681302	40603
AZ	CM022185.2_RagTag	250001	300000	0.0083855673211139	48127	75322	8982338	161792
AZ	CM022185.2_RagTag	300001	350000	0.0088828664163102	38206	63305	7126641	132499
Sev	CM022185.2_RagTag	300001	350000	0.008128018124377	38205	4420	543798	29292
Butte	CM022185.2_RagTag	300001	350000	0.0085564194215564	38206	37767	4413879	170841
WTX	CM022185.2_RagTag	300001	350000	0.0088019122149	38206	62435	7093345	165795
Butte	CM022185.2_RagTag	350001	400000	0.0072424135355207	43255	35912	4958568	232032
Sev	CM022185.2_RagTag	350001	400000	0.0068655793562306	43255	4175	608106	40719
AZ	CM022185.2_RagTag	350001	400000	0.0075179629758243	43255	60727	8077587	140863
